Freq.	V(out)
1.14268579676957e-002	-4.59159278251754e-002,7.70235652442271e-002
1.14318726562947e-002	-4.59558462316020e-002,7.70619267100355e-002
1.14368895455950e-002	-4.59957989994507e-002,7.71003109631695e-002
1.14419086365625e-002	-4.60357861576994e-002,7.71387180213536e-002
1.14469299301633e-002	-4.60758077353482e-002,7.71771479023295e-002
1.14519534273641e-002	-4.61158637614204e-002,7.72156006238567e-002
1.14569791291319e-002	-4.61559542649622e-002,7.72540762037125e-002
1.14620070364342e-002	-4.61960792750460e-002,7.72925746596922e-002
1.14670371502389e-002	-4.62362388207649e-002,7.73310960096084e-002
1.14720694715143e-002	-4.62764329312354e-002,7.73696402712917e-002
1.14771040012291e-002	-4.63166616356007e-002,7.74082074625910e-002
1.14821407403526e-002	-4.63569249630221e-002,7.74467976013720e-002
1.14871796898544e-002	-4.63972229426887e-002,7.74854107055191e-002
1.14922208507044e-002	-4.64375556038139e-002,7.75240467929347e-002
1.14972642238731e-002	-4.64779229756296e-002,7.75627058815382e-002
1.15023098103315e-002	-4.65183250873969e-002,7.76013879892680e-002
1.15073576110507e-002	-4.65587619683961e-002,7.76400931340795e-002
1.15124076270026e-002	-4.65992336479336e-002,7.76788213339467e-002
1.15174598591593e-002	-4.66397401553388e-002,7.77175726068614e-002
1.15225143084934e-002	-4.66802815199643e-002,7.77563469708331e-002
1.15275709759778e-002	-4.67208577711878e-002,7.77951444438901e-002
1.15326298625861e-002	-4.67614689384087e-002,7.78339650440779e-002
1.15376909692921e-002	-4.68021150510504e-002,7.78728087894603e-002
1.15427542970701e-002	-4.68427961385620e-002,7.79116756981196e-002
1.15478198468947e-002	-4.68835122304142e-002,7.79505657881560e-002
1.15528876197412e-002	-4.69242633561020e-002,7.79894790776874e-002
1.15579576165852e-002	-4.69650495451442e-002,7.80284155848504e-002
1.15630298384025e-002	-4.70058708270832e-002,7.80673753277994e-002
1.15681042861698e-002	-4.70467272314866e-002,7.81063583247075e-002
1.15731809608637e-002	-4.70876187879427e-002,7.81453645937652e-002
1.15782598634617e-002	-4.71285455260674e-002,7.81843941531822e-002
1.15833409949414e-002	-4.71695074754989e-002,7.82234470211858e-002
1.15884243562810e-002	-4.72105046658962e-002,7.82625232160214e-002
1.15935099484590e-002	-4.72515371269475e-002,7.83016227559535e-002
1.15985977724545e-002	-4.72926048883626e-002,7.83407456592644e-002
1.16036878292468e-002	-4.73337079798727e-002,7.83798919442545e-002
1.16087801198160e-002	-4.73748464312374e-002,7.84190616292432e-002
1.16138746451422e-002	-4.74160202722364e-002,7.84582547325678e-002
1.16189714062062e-002	-4.74572295326753e-002,7.84974712725839e-002
1.16240704039891e-002	-4.74984742423835e-002,7.85367112676661e-002
1.16291716394725e-002	-4.75397544312152e-002,7.85759747362071e-002
1.16342751136385e-002	-4.75810701290462e-002,7.86152616966179e-002
1.16393808274694e-002	-4.76224213657781e-002,7.86545721673282e-002
1.16444887819483e-002	-4.76638081713365e-002,7.86939061667862e-002
1.16495989780583e-002	-4.77052305756712e-002,7.87332637134587e-002
1.16547114167832e-002	-4.77466886087548e-002,7.87726448258308e-002
1.16598260991072e-002	-4.77881823005847e-002,7.88120495224063e-002
1.16649430260149e-002	-4.78297116811840e-002,7.88514778217078e-002
1.16700621984914e-002	-4.78712767805972e-002,7.88909297422762e-002
1.16751836175221e-002	-4.79128776288946e-002,7.89304053026711e-002
1.16803072840929e-002	-4.79545142561708e-002,7.89699045214711e-002
1.16854331991901e-002	-4.79961866925427e-002,7.90094274172728e-002
1.16905613638005e-002	-4.80378949681551e-002,7.90489740086923e-002
1.16956917789114e-002	-4.80796391131740e-002,7.90885443143639e-002
1.17008244455103e-002	-4.81214191577877e-002,7.91281383529405e-002
1.17059593645853e-002	-4.81632351322150e-002,7.91677561430944e-002
1.17110965371250e-002	-4.82050870666933e-002,7.92073977035161e-002
1.17162359641182e-002	-4.82469749914877e-002,7.92470630529153e-002
1.17213776465543e-002	-4.82888989368855e-002,7.92867522100203e-002
1.17265215854231e-002	-4.83308589331996e-002,7.93264651935783e-002
1.17316677817149e-002	-4.83728550107649e-002,7.93662020223551e-002
1.17368162364204e-002	-4.84148871999466e-002,7.94059627151364e-002
1.17419669505306e-002	-4.84569555311260e-002,7.94457472907254e-002
1.17471199250371e-002	-4.84990600347142e-002,7.94855557679450e-002
1.17522751609318e-002	-4.85412007411471e-002,7.95253881656375e-002
1.17574326592073e-002	-4.85833776808810e-002,7.95652445026630e-002
1.17625924208562e-002	-4.86255908844022e-002,7.96051247979020e-002
1.17677544468720e-002	-4.86678403822146e-002,7.96450290702526e-002
1.17729187382483e-002	-4.87101262048535e-002,7.96849573386332e-002
1.17780852959792e-002	-4.87524483828741e-002,7.97249096219804e-002
1.17832541210595e-002	-4.87948069468572e-002,7.97648859392503e-002
1.17884252144841e-002	-4.88372019274095e-002,7.98048863094181e-002
1.17935985772484e-002	-4.88796333551602e-002,7.98449107514780e-002
1.17987742103484e-002	-4.89221012607653e-002,7.98849592844434e-002
1.18039521147804e-002	-4.89646056749031e-002,7.99250319273470e-002
1.18091322915412e-002	-4.90071466282775e-002,7.99651286992403e-002
1.18143147416280e-002	-4.90497241516180e-002,8.00052496191946e-002
